#options: 1080x1920 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:-1:-1 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.15 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4526 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:23.74 aq:16.62 tex:514361 mv:151153 misc:422 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:24.44 aq:16.65 tex:413721 mv:63862 misc:1865 imb:5422 pmb:2347 smb:391 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:24.44 aq:18.03 tex:267984 mv:77128 misc:4704 imb:1758 pmb:4662 smb:1740 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:24.44 aq:18.68 tex:182994 mv:64604 misc:5610 imb:1196 pmb:4748 smb:2216 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:24.44 aq:18.62 tex:177415 mv:62160 misc:5177 imb:1043 pmb:4524 smb:2593 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:24.63 aq:16.27 tex:390314 mv:61611 misc:2339 imb:4783 pmb:2295 smb:1082 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:24.54 aq:17.74 tex:253342 mv:75093 misc:4293 imb:1382 pmb:4443 smb:2335 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:24.49 aq:18.71 tex:167222 mv:61865 misc:4841 imb:857 pmb:4485 smb:2818 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:24.58 aq:18.77 tex:150041 mv:58170 misc:4973 imb:831 pmb:4146 smb:3183 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:24.76 aq:16.29 tex:384052 mv:59356 misc:2776 imb:4401 pmb:2215 smb:1544 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:24.69 aq:17.61 tex:243868 mv:73326 misc:4198 imb:1287 pmb:4282 smb:2591 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:24.66 aq:18.58 tex:160840 mv:60439 misc:4657 imb:878 pmb:4221 smb:3061 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:24.73 aq:18.77 tex:146669 mv:57620 misc:4639 imb:797 pmb:4108 smb:3255 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:24.85 aq:16.53 tex:372537 mv:58040 misc:3007 imb:3967 pmb:2310 smb:1883 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:24.80 aq:17.68 tex:240294 mv:71828 misc:4110 imb:1434 pmb:4033 smb:2693 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:24.78 aq:18.65 tex:157915 mv:58940 misc:4441 imb:952 pmb:3916 smb:3292 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:24.82 aq:18.61 tex:136327 mv:55392 misc:4913 imb:853 pmb:3892 smb:3415 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:32.07 aq:23.13 tex:97353 mv:40195 misc:4148 imb:2897 pmb:1681 smb:3582 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:28.46 aq:21.21 tex:94633 mv:53862 misc:5009 imb:1079 pmb:3207 smb:3874 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:26.65 aq:20.67 tex:77666 mv:48227 misc:5291 imb:648 pmb:3494 smb:4018 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:30.26 aq:23.77 tex:26210 mv:29763 misc:5651 imb:402 pmb:2292 smb:5466 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:31.21 aq:22.01 tex:113132 mv:43399 misc:4541 imb:2940 pmb:1969 smb:3251 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:31.64 aq:23.58 tex:47165 mv:41888 misc:5747 imb:802 pmb:2820 smb:4538 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:31.85 aq:24.76 tex:20345 mv:27279 misc:5816 imb:405 pmb:2163 smb:5592 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:31.42 aq:24.65 tex:19220 mv:26096 misc:5420 imb:351 pmb:2044 smb:5765 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:30.76 aq:22.24 tex:122725 mv:44171 misc:4232 imb:3322 pmb:1863 smb:2975 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:30.98 aq:23.61 tex:54873 mv:44164 misc:5539 imb:861 pmb:2847 smb:4452 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:31.09 aq:24.94 tex:25206 mv:29016 misc:5474 imb:388 pmb:2163 smb:5609 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:30.87 aq:24.56 tex:21923 mv:28200 misc:5725 imb:382 pmb:2174 smb:5604 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:30.47 aq:21.00 tex:142466 mv:50830 misc:3824 imb:4913 pmb:2057 smb:1190 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:30.61 aq:22.09 tex:77078 mv:50018 misc:6240 imb:1120 pmb:3991 smb:3049 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:30.69 aq:23.11 tex:34355 mv:35624 misc:6821 imb:601 pmb:2973 smb:4586 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:30.54 aq:23.60 tex:27232 mv:31762 misc:6086 imb:441 pmb:2509 smb:5210 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:29.92 aq:21.12 tex:139596 mv:47763 misc:4385 imb:3243 pmb:2028 smb:2889 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:30.19 aq:22.50 tex:68675 mv:48527 misc:5430 imb:989 pmb:3154 smb:4017 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:30.33 aq:23.65 tex:34374 mv:34929 misc:5913 imb:572 pmb:2588 smb:5000 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:30.05 aq:23.96 tex:31544 mv:33099 misc:5677 imb:521 pmb:2447 smb:5192 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.19 aq:20.19 tex:154955 mv:48680 misc:4005 imb:3342 pmb:2064 smb:2754 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:29.55 aq:22.11 tex:78636 mv:49527 misc:5285 imb:940 pmb:3259 smb:3961 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:29.74 aq:23.14 tex:38200 mv:37199 misc:5913 imb:587 pmb:2702 smb:4871 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:29.37 aq:23.07 tex:33067 mv:33596 misc:5569 imb:436 pmb:2532 smb:5192 d:- ref:0 ;
